Loss Function,Algorithm,Dataset Length,Dataset Width,Subset Length,Computation Time,Loss
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,400,10,10,0.03439537505619228,-90.04601415737471
"Uni-criterion: discreteCoverage, coverage",greedySwap,400,10,10,0.11310166586190462,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,400,10,10,0.024759000167250633,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,400,10,10,0.01836970797739923,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,400,10,10,0.08133408310823143,2.1822544866618534
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,400,10,10,0.013758792076259851,5.784711219369559
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,400,10,10,0.013922666199505329,10.073043828871704
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",greedySwap,400,10,10,0.18256129184737802,-96.85627801703724
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",bestOfRandom,400,10,10,0.026398499961942434,-95.39695500621534
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range) + 1.0*(discreteCoverage, coverage)",averageOfRandom,400,10,10,0.02548487507738173,-89.83644924796695
"Uni-criterion: discreteCoverage, coverage",greedySwap,400,10,10,0.09633379196748137,-100.0
"Uni-criterion: discreteCoverage, coverage",bestOfRandom,400,10,10,0.016842790879309177,-100.0
"Uni-criterion: discreteCoverage, coverage",averageOfRandom,400,10,10,0.016988582909107208,-100.0
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",greedySwap,400,10,10,0.08041050005704165,2.230994410207388
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",bestOfRandom,400,10,10,0.013809415977448225,5.953831073725305
"Multi-criterion: 1.0*(preserveMetric, metric: mean) + 1.0*(preserveMetric, metric: range)",averageOfRandom,400,10,10,0.013366332976147532,10.039505886199974
